,time,aug_factor,u00,u07,u10,u17,u34,u35,u47,u00,u07,u10,u17,u34,u35,u47,mse,entropy,model,feature num,random seed
0,1642475541,0,0,0.057692308,0,0.014285714,0.044776119,0,0.044776119,0,0,0,1,0,0,0,0.13985298,1.866170051,DNN,4,0
1,1642475555,1,0.013793103,0.057692308,0.084507042,0.142857143,0.029850746,0,0,0,0,0,1,0,0,0,0.106606434,1.97317443,DNN,4,0
2,1642475569,2,0.006896552,0.115384615,0.070422535,0.185714286,0.029850746,0,0.029850746,0,0,0,1,0,0,0,0.097594838,2.078101549,DNN,4,0
3,1642475583,3,0,0.057692308,0,0.042857143,0.044776119,0,0.044776119,0,0,0,1,0,0,0,0.13192295,1.989248792,DNN,4,0
4,1642475598,4,0.04137931,0.307692308,0.225352113,0.428571429,0.059701493,0.057971014,0.059701493,0,0,0,1,0,0,0,0.069170024,2.31092813,DNN,4,0
5,1642475613,5,0.013793103,0.115384615,0.042253521,0.214285714,0.059701493,0.043478261,0.029850746,0,0,0,1,0,0,0,0.091283122,2.338861452,DNN,4,0
6,1642475628,6,0.006896552,0.153846154,0.084507042,0.3,0.029850746,0,0.044776119,0,0,0,1,0,0,0,0.074821944,1.954421122,DNN,4,0
7,1642475644,7,0.027586207,0.307692308,0.126760563,0.342857143,0.104477612,0.072463768,0.119402985,0,0,0,1,0,0,0,0.08196631,2.458575196,DNN,4,0
8,1642475660,8,0.034482759,0.365384615,0.197183099,0.385714286,0.104477612,0.072463768,0.089552239,0,0,0,1,0,0,0,0.082158466,2.415790556,DNN,4,0
9,1642475676,9,0.034482759,0.25,0.309859155,0.414285714,0.029850746,0.057971014,0.014925373,0,0,0,1,0,0,0,0.072462493,2.129985311,DNN,4,0
10,1642475692,10,0.020689655,0.25,0.14084507,0.357142857,0.074626866,0.101449275,0.059701493,0,0,0,1,0,0,0,0.073636585,2.397380292,DNN,4,0
11,1642475709,11,0.020689655,0.192307692,0.23943662,0.4,0.059701493,0,0.014925373,0,0,0,1,0,0,0,0.065503891,1.971517868,DNN,4,0
12,1642475726,12,0.04137931,0.326923077,0.338028169,0.342857143,0.134328358,0.101449275,0.149253731,0,0,0,1,0,0,0,0.100757638,2.548820366,DNN,4,0
13,1642475743,13,0.613793103,0.5,0.394366197,0.6,0.537313433,0.376811594,0.567164179,0,0,0,1,0,0,0,0.242090654,2.78539079,DNN,4,0
